launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
0.000000, 702899.000000, 4309837.000000, 0.419581, 702835.487243, 4309800.330893, 0.419581, 73.338215
0.000000, 702874.000000, 4309880.000000, 0.403984, 702806.203624, 4309840.857744, 0.403984, 78.284512
0.000000, 702888.000000, 4309895.500000, 0.388277, 702824.930296, 4309859.086690, 0.388277, 72.826621
0.000000, 702852.000000, 4309903.000000, 0.776137, 702724.141970, 4309829.181132, 0.776137, 147.637736
0.000000, 703067.000000, 4309866.000000, 0.403984, 702996.246499, 4309825.150447, 0.403984, 81.699105
1.000000, 703036.261259, 4309867.130255, 1.403984, 702969.122765, 4309828.367827, 0.403984, 77.524855
1.000000, 702884.788857, 4309872.726071, 1.792592, 702760.141408, 4309800.760833, 0.792592, 143.930476
1.000000, 702925.920582, 4309907.629821, 1.924232, 702793.613878, 4309831.242510, 0.924232, 152.774623
1.000000, 703024.450113, 4309883.578095, 1.432317, 702956.840542, 4309844.543691, 0.432317, 78.068808
1.000000, 703060.320804, 4309821.647268, 1.426119, 702994.205250, 4309783.475435, 0.426119, 76.343666
1.000000, 703466.135525, 4310019.541197, 1.801589, 703318.063267, 4309934.051638, 0.801589, 170.979117
1.000000, 703467.806432, 4310025.812883, 1.833052, 703315.851157, 4309938.081464, 0.833052, 175.462838
1.000000, 704345.909226, 4310028.541781, 1.518753, 704278.775718, 4309989.782231, 0.518753, 77.519098
2.000000, 702910.092175, 4309825.902617, 2.419581, 702851.365485, 4309791.996747, 0.419581, 67.811741
2.000000, 702910.809811, 4309891.241654, 2.426119, 702845.090188, 4309853.298413, 0.426119, 75.886483
2.000000, 703132.302520, 4309877.248891, 2.937016, 702962.590358, 4309779.265529, 0.937016, 195.966725
2.000000, 703045.265912, 4309891.441777, 2.925424, 702896.344924, 4309805.462204, 0.925424, 171.959145
2.000000, 703058.072450, 4309885.039247, 2.925424, 702908.036002, 4309798.415664, 0.925424, 173.247166
2.000000, 703022.337434, 4309910.099730, 2.964705, 702851.680503, 4309811.570905, 0.964705, 197.057650
2.000000, 703442.229407, 4310014.964040, 2.403984, 703363.545530, 4309969.535882, 0.403984, 90.856316
2.000000, 704043.297076, 4310052.781683, 2.759682, 703919.039400, 4309981.041481, 0.759682, 143.480405
3.000000, 702773.640508, 4309874.971326, 3.728120, 702643.348974, 4309799.747474, 0.728120, 150.447705
3.000000, 702721.279185, 4309937.662885, 3.914100, 702603.893338, 4309869.890135, 0.914100, 135.545500
3.000000, 703991.016066, 4310043.289825, 3.967115, 703835.891230, 4309953.728459, 0.967115, 179.122731
3.000000, 703901.437907, 4310069.643220, 3.503640, 703813.656303, 4310018.962487, 0.503640, 101.361466
3.000000, 702896.194656, 4309804.473103, 3.769351, 702770.037786, 4309731.636400, 0.769351, 145.673406
3.000000, 702907.974553, 4309797.417118, 3.774413, 702773.267026, 4309719.643691, 0.774413, 155.546855
4.000000, 703023.735300, 4309862.815374, 4.445392, 702956.312420, 4309823.888756, 0.445392, 77.853236
4.000000, 702878.537043, 4309873.634771, 4.419581, 702813.026997, 4309835.812528, 0.419581, 75.644486
4.000000, 702970.257878, 4309891.751178, 4.885934, 702837.476013, 4309815.089532, 0.885934, 153.323291
4.000000, 703078.321010, 4309863.468309, 4.859032, 702927.501556, 4309776.392656, 0.859032, 174.151305
4.000000, 703064.698475, 4309870.358508, 4.836569, 702936.054196, 4309796.085699, 0.836569, 148.545618
4.000000, 703010.604703, 4309928.872790, 4.859032, 702856.720185, 4309840.027522, 0.859032, 177.690536
