launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
0.000000, 702902.000000, 4309930.000000, 0.333582, 702972.588542, 4309930.000000, 0.333582, 70.588542
1.000000, 702817.814633, 4309933.470203, 1.628103, 702975.253529, 4309933.470203, 0.628103, 157.438896
2.000000, 702901.679931, 4309933.363774, 2.563891, 703038.820686, 4309933.363774, 0.563891, 137.140756
2.000000, 702992.703142, 4309971.384886, 2.513066, 703113.381633, 4309971.384886, 0.513066, 120.678492
2.000000, 702975.199310, 4309932.468797, 2.520073, 703106.921822, 4309932.468797, 0.520073, 131.722511
2.000000, 702976.094639, 4309932.921643, 2.324412, 703060.376279, 4309932.921643, 0.324412, 84.281641
3.000000, 702652.648617, 4310012.461845, 3.349042, 702712.013705, 4310012.461845, 0.349042, 59.365088
3.000000, 703107.878363, 4309932.790768, 3.562765, 703298.052497, 4309932.790768, 0.562765, 190.174134
4.000000, 703039.259218, 4309932.377882, 4.549034, 703205.680994, 4309932.377882, 0.549034, 166.421776
5.000000, 703113.821458, 4309972.537402, 5.542165, 703252.247826, 4309972.537402, 0.542165, 138.426368
6.000000, 702857.403962, 4309973.781075, 6.333582, 702928.186633, 4309973.781075, 0.333582, 70.782670
6.000000, 702998.286032, 4309966.056758, 6.300571, 703058.989846, 4309966.056758, 0.300571, 60.703814
7.000000, 702828.759460, 4309888.892574, 7.333582, 702916.053259, 4309888.892574, 0.333582, 87.293799
7.000000, 702991.649042, 4309964.714255, 7.484617, 703094.570443, 4309964.714255, 0.484617, 102.921401
7.000000, 703114.173627, 4309972.942618, 7.333582, 703219.161251, 4309972.942618, 0.333582, 104.987623
8.000000, 702656.707398, 4309986.307801, 8.618737, 702820.219065, 4309986.307801, 0.618737, 163.511667
8.000000, 702727.770572, 4309965.904136, 8.374164, 702812.554996, 4309965.904136, 0.374164, 84.784424
8.000000, 703062.405238, 4309934.187374, 8.314875, 703123.081138, 4309934.187374, 0.314875, 60.675900
9.000000, 702659.428805, 4309931.819294, 9.690192, 702843.615183, 4309931.819294, 0.690192, 184.186378
9.000000, 702851.913783, 4309964.388253, 9.636482, 703019.944208, 4309964.388253, 0.636482, 168.030425
9.000000, 703122.743695, 4309935.140572, 9.511897, 703282.237289, 4309935.140572, 0.511897, 159.493594
10.000000, 702658.284087, 4309883.742770, 10.394262, 702739.772009, 4309883.742770, 0.394262, 81.487921
10.000000, 703063.309349, 4309934.635353, 10.549034, 703233.801820, 4309934.635353, 0.549034, 170.492470
10.000000, 703253.632385, 4309971.345998, 10.636222, 703399.303245, 4309971.345998, 0.636222, 145.670861
11.000000, 703254.613459, 4309972.873778, 11.357163, 703351.818630, 4309972.873778, 0.357163, 97.205171
11.000000, 702844.330797, 4309931.021852, 11.610732, 702999.751980, 4309931.021852, 0.610732, 155.421183
12.000000, 702911.686450, 4309935.988620, 12.550758, 703071.345786, 4309935.988620, 0.550758, 159.659336
12.000000, 702660.363456, 4310015.600706, 12.632503, 702828.377638, 4310015.600706, 0.632503, 168.014183
12.000000, 702976.855882, 4309937.317652, 12.485615, 703080.549108, 4309937.317652, 0.485615, 103.693226
13.000000, 703005.673014, 4309972.855432, 13.300571, 703066.376312, 4309972.855432, 0.300571, 60.703298
14.000000, 702662.033743, 4310015.576645, 14.349042, 702721.284400, 4310015.576645, 0.349042, 59.250657
14.000000, 703067.209824, 4309972.270561, 14.541794, 703232.307571, 4309972.270561, 0.541794, 165.097747
15.000000, 702825.806166, 4309903.295269, 15.333582, 702913.099965, 4309903.295269, 0.333582, 87.293799
15.000000, 702974.372231, 4309899.121685, 15.539137, 703107.278374, 4309899.121685, 0.539137, 132.906143
15.000000, 702663.553612, 4310024.909151, 15.655570, 702854.897619, 4310024.909151, 0.655570, 191.344007
15.000000, 703107.448881, 4309936.501696, 15.301948, 703166.428446, 4309936.501696, 0.301948, 58.979565
15.000000, 702814.682260, 4309964.264361, 15.364115, 702898.456459, 4309964.264361, 0.364115, 83.774199
16.000000, 702663.545244, 4309899.655437, 16.394262, 702746.726129, 4309899.655437, 0.394262, 83.180885
17.000000, 702972.392387, 4309891.933290, 17.333582, 703055.650462, 4309891.933290, 0.333582, 83.258075
17.000000, 703062.792361, 4309962.950095, 17.563664, 703198.830386, 4309962.950095, 0.563664, 136.038025
17.000000, 703099.250492, 4309963.659279, 17.301948, 703158.565755, 4309963.659279, 0.301948, 59.315262
18.000000, 702668.165676, 4309934.016193, 18.759759, 702860.652555, 4309934.016193, 0.759759, 192.486879
18.000000, 703042.679688, 4309939.268520, 18.527388, 703175.203675, 4309939.268520, 0.527388, 132.523987
18.000000, 703113.968050, 4309936.964849, 18.511897, 703273.461644, 4309936.964849, 0.511897, 159.493594
18.000000, 702824.445576, 4309987.585712, 18.369140, 702907.796374, 4309987.585712, 0.369140, 83.350797
19.000000, 702830.470007, 4310017.071054, 19.543876, 702987.110579, 4310017.071054, 0.543876, 156.640573
20.000000, 702913.026453, 4309919.744045, 20.563891, 703050.761904, 4309919.744045, 0.563891, 137.735451
20.000000, 703056.630291, 4309891.093297, 20.557796, 703208.648069, 4309891.093297, 0.557796, 152.017778
21.000000, 702876.879163, 4309971.464429, 21.345469, 702956.651070, 4309971.464429, 0.345469, 79.771906
21.000000, 703119.174650, 4309964.144021, 21.511897, 703278.668243, 4309964.144021, 0.511897, 159.493594
21.000000, 703119.174650, 4309964.144021, 21.301948, 703178.343703, 4309964.144021, 0.301948, 59.169054
21.000000, 703306.521243, 4309933.519662, 21.912380, 703543.303962, 4309933.519662, 0.912380, 236.782720
21.000000, 703108.369523, 4309900.912615, 21.306716, 703194.547317, 4309900.912615, 0.306716, 86.177794
21.000000, 702854.639942, 4310023.267431, 21.578702, 703005.781061, 4310023.267431, 0.578702, 151.141119
21.000000, 702987.829944, 4310016.265243, 21.292411, 703025.796639, 4310016.265243, 0.292411, 37.966695
21.000000, 703207.714365, 4309890.725878, 21.287664, 703267.759629, 4309890.725878, 0.287664, 60.045264
22.000000, 702957.328834, 4309972.222860, 22.333582, 703044.265088, 4309972.222860, 0.333582, 86.936254
22.000000, 703544.014928, 4309932.815617, 22.413044, 703646.095461, 4309932.815617, 0.413044, 102.080533
23.000000, 702669.446711, 4309876.850331, 23.788250, 702880.060769, 4309876.850331, 0.788250, 210.614057
23.000000, 702986.783942, 4310015.842242, 23.499696, 703076.465019, 4310015.842242, 0.499696, 89.681077
24.000000, 702901.031526, 4309917.510579, 24.333582, 702971.620068, 4309917.510579, 0.333582, 70.588542
24.000000, 702671.016942, 4309849.294535, 24.365589, 702754.102678, 4309849.294535, 0.365589, 83.085736
24.000000, 702669.252222, 4309890.904180, 24.394262, 702752.238329, 4309890.904180, 0.394262, 82.986107
24.000000, 703003.301479, 4309984.719625, 24.300571, 703064.005293, 4309984.719625, 0.300571, 60.703814
24.000000, 703193.428988, 4309900.765624, 24.287664, 703253.878009, 4309900.765624, 0.287664, 60.449021
25.000000, 702918.814384, 4309919.254431, 25.547736, 703074.185449, 4309919.254431, 0.547736, 155.371066
25.000000, 702670.166924, 4309900.347131, 25.788250, 702880.780981, 4309900.347131, 0.788250, 210.614057
25.000000, 703013.493716, 4309960.127950, 25.532805, 703146.134736, 4309960.127950, 0.532805, 132.641020
25.000000, 702857.928433, 4310022.795846, 25.306716, 702917.879661, 4310022.795846, 0.306716, 59.951228
26.000000, 702969.075147, 4309891.663046, 26.321042, 703037.067841, 4309891.663046, 0.321042, 67.992694
26.000000, 703054.763101, 4309937.613847, 26.563664, 703189.496418, 4309937.613847, 0.563664, 134.733317
26.000000, 703269.774170, 4309891.154745, 26.321021, 703329.314447, 4309891.154745, 0.321021, 59.540277
26.000000, 703074.092490, 4309918.254100, 26.314875, 703159.150421, 4309918.254100, 0.314875, 85.057931
27.000000, 702852.785288, 4309930.208070, 27.350493, 702935.871171, 4309930.208070, 0.350493, 83.085883
27.000000, 703267.271520, 4309974.412703, 27.382285, 703378.143329, 4309974.412703, 0.382285, 110.871809
27.000000, 703211.024457, 4309889.822751, 27.489972, 703315.339527, 4309889.822751, 0.489972, 104.315070
28.000000, 702674.795166, 4309873.313868, 28.365589, 702757.880902, 4309873.313868, 0.365589, 83.085736
28.000000, 703102.190662, 4309972.977794, 28.324412, 703189.094473, 4309972.977794, 0.324412, 86.903811
29.000000, 703016.765816, 4309981.793402, 29.319644, 703086.206656, 4309981.793402, 0.319644, 69.440840
29.000000, 703194.240834, 4309898.646492, 29.463822, 703299.930335, 4309898.646492, 0.463822, 105.689500
30.000000, 702861.373013, 4309930.384402, 30.316253, 702945.356058, 4309930.384402, 0.316253, 83.983045
31.000000, 702674.965945, 4309900.360225, 31.788250, 702886.755130, 4309900.360225, 0.788250, 211.789185
31.000000, 702878.897040, 4309982.850580, 31.345469, 702959.364451, 4309982.850580, 0.345469, 80.467411
31.000000, 703124.973049, 4309984.933714, 31.333582, 703230.715685, 4309984.933714, 0.333582, 105.742637
33.000000, 702994.871928, 4309909.966140, 33.333582, 703080.429050, 4309909.966140, 0.333582, 85.557122
33.000000, 703312.571761, 4309925.750506, 33.287664, 703360.418327, 4309925.750506, 0.287664, 47.846566
33.000000, 702827.036607, 4309997.415627, 33.333582, 702915.165885, 4309997.415627, 0.333582, 88.129278
34.000000, 702914.767248, 4309998.342658, 34.511897, 703020.684596, 4309998.342658, 0.511897, 105.917349
35.000000, 703005.419003, 4309902.129479, 35.527313, 703139.653789, 4309902.129479, 0.527313, 134.234786
35.000000, 702683.664553, 4309963.315179, 35.350493, 702765.529642, 4309963.315179, 0.350493, 81.865088
35.000000, 703306.575244, 4309922.345648, 35.470360, 703440.008802, 4309922.345648, 0.470360, 133.433558
35.000000, 703547.378243, 4309938.093477, 35.930017, 703749.534304, 4309938.093477, 0.930017, 202.156061
35.000000, 703271.202332, 4309886.462388, 35.519127, 703401.143139, 4309886.462388, 0.519127, 129.940807
35.000000, 702757.004046, 4309846.663725, 35.678606, 702935.573870, 4309846.663725, 0.678606, 178.569823
